-----------------------------------------------------------------------------------------
Benchmark                                               Time             CPU   Iterations
solve<LocalSort>/17576/17576/real_time_mean      46908818 ns     46908965 ns            3
solve<LocalSort>/17576/17576/real_time_median    46798847 ns     46798071 ns            3
solve<LocalSort>/17576/17576/real_time_stddev      194360 ns       194793 ns            3
solve<LocalSort>/17576/17576/real_time_cv            0.41 %          0.42 %             3
solve<Multiset>/2/2/real_time                        6959 ns         6970 ns       100732
solve<Multiset>/2/2/real_time                        6956 ns         6969 ns       100732
solve<Multiset>/2/2/real_time                        6954 ns         6966 ns       100732
solve<Multiset>/2/2/real_time_mean                   6956 ns         6968 ns            3
solve<Multiset>/2/2/real_time_median                 6956 ns         6969 ns            3
solve<Multiset>/2/2/real_time_stddev                 2.74 ns         2.09 ns            3
solve<Multiset>/2/2/real_time_cv                     0.04 %          0.03 %             3
solve<Multiset>/2/300/real_time                    753059 ns       753093 ns          931
solve<Multiset>/2/300/real_time                    753013 ns       753051 ns          931
solve<Multiset>/2/300/real_time                    753620 ns       753652 ns          931
solve<Multiset>/2/300/real_time_mean               753230 ns       753265 ns            3
solve<Multiset>/2/300/real_time_median             753059 ns       753093 ns            3
solve<Multiset>/2/300/real_time_stddev                338 ns          336 ns            3
solve<Multiset>/2/300/real_time_cv                   0.04 %          0.04 %             3
solve<Multiset>/17/300/real_time                   843370 ns       843411 ns          829
solve<Multiset>/17/300/real_time                   843292 ns       843335 ns          829
solve<Multiset>/17/300/real_time                   843842 ns       843893 ns          829
solve<Multiset>/17/300/real_time_mean              843502 ns       843546 ns            3
solve<Multiset>/17/300/real_time_median            843370 ns       843411 ns            3
solve<Multiset>/17/300/real_time_stddev               297 ns          303 ns            3
solve<Multiset>/17/300/real_time_cv                  0.04 %          0.04 %             3
solve<Multiset>/150/300/real_time                  702772 ns       702837 ns          997
solve<Multiset>/150/300/real_time                  703350 ns       703422 ns          997
solve<Multiset>/150/300/real_time                  703324 ns       703400 ns          997
solve<Multiset>/150/300/real_time_mean             703149 ns       703220 ns            3
solve<Multiset>/150/300/real_time_median           703324 ns       703400 ns            3
solve<Multiset>/150/300/real_time_stddev              327 ns          331 ns            3
solve<Multiset>/150/300/real_time_cv                 0.05 %          0.05 %             3
solve<Multiset>/300/300/real_time                  730171 ns       730230 ns          958
